Category Path,Intent Name,Visitor Questions,Response
/FAQs,What makes the Nectar mattress different?,What makes the Nectar mattress different?,"Nectar not only offers contoured comfort at a fantastic price, but it also provides peace-of-mind with our industry-leading 365-Night risk-free sleep trial and Forever Warranty®. Plus, every Nectar mattress is shipped fast and free to your front door. And if it’s not a perfect fit, we’ll refund your purchase and have the mattress donated or recycled. No hard feelings."
/FAQs,What is the 365 night sleep trial?,What is the 365 night sleep trial?,"One of the best parts about choosing a Nectar mattress is the incredible year long trial period that starts 30 days after delivery to your door. We do this because studies and customers agree that it takes about 30 days for your body to adjust to a new mattress and we want to give you that time to get to know our product before making a final decision on your sleep experience. Once the first 30 days are up, your 365 night trial begins. This trial period is 3 times longer than any other trials we have seen in the industry."
/FAQs,What is the Forever Warranty?,What is the Forever Warranty?,"Forever is a long, long time… and that’s how long we guarantee the construction, materials, quality and durability of Nectar for the original purchaser. If you own a Nectar and sleep on a Nectar we believe Nectar should be the only mattress you ever need. We back up Nectar’s quality in absolute terms, with no wishy washy legal speak, Nectar will last longer than you do if your treat Nectar right."
/FAQs,How does the Nectar mattress feel?,How does the Nectar mattress feel?,"Nectar is designed with your comfort in mind, whether you sleep on your front, back, or side. The mattress’s CertiPUR-US® foams and breathable Tencel cover work together to circulate fresh air, evenly distribute your weight, and contour to your unique shape to help relieve pressure points and fatigued muscles. On a firmness scale of 1 to 10, we designed Nectar to feel like a medium-firm 6.5, or, as we like to call it, the mattress sweet spot."
/FAQs,If I return my Nectar within the 365 Night Trial can I get my White Glove Service refunded as well?,If I return my Nectar within the 365 Night Trial can I get my White Glove Service refunded as well?,"Your White Glove Service fee is non-refundable once services have been rendered. This means that once your items have been delivered, you will not be able to receive a refund in the case of a return. You will still receive a full refund on your mattress."
/FAQs,I don’t understand how the White Glove Fees work with multiple items?,I don’t understand how the White Glove Fees work with multiple items?,"When you use White Glove Service fees will be applied to every eligible item (Mattress, Foundation, Adjustable Base, Bed Frame with Headboard) in the cart. If you choose the service, all eligible items will be delivered and set up. The first White Glove eligible item in cart will incur a fee of $149, if other items are added, each additional eligible item will incur an additional cost of $45. For example, if you have a mattress and foundation in cart, the total White Glove Service Fee will be $194 ($149 + $45). If you ordered any items that do not require setup such sheets, mattress protector or pillows, we'll deliver those free of any additional charge."
/FAQs,How do returns work with White Glove Service?,How do returns work with White Glove Service?,"Nectar provides free shipping and returns right to your door. While your White Glove Service fees are non-refundable once your order has been received by our warehouse for processing and delivery, we offer a full 365-night trial so you can return your mattress up to a full year, and all other products--if they are unopened--up to 50 days. White Glove Service may be cancelled and associated fees refunded at any point prior to our receipt of your order at our warehouse, which can take anywhere from a few hours up to one business day. Once all items have been delivered and set-up by our White Glove Service provider, if you don’t feel that you’re having the best sleep of your life before your trial period ends, we’ll give you a full refund for the product your purchased."
/FAQs,Help! The tracking number is not to my address?,Help! The tracking number is not to my address?,"Don't worry. With White Glove Service, your new Nectar ships to our local provider in your area which might have a different zip code than your home address."
/FAQs,It’s been 2 days and I still haven’t heard from White Glove Service?,It’s been 2 days and I still haven’t heard from White Glove Service?,"White Glove Service will receive your order in the 2-3 business day time frame usually quoted at checkout. White Glove Service will then reach out within 1-2 additional days of receiving your items to schedule the delivery only once all the items you have ordered have been delivered. Depending on if your items shipped separately, this can add time to the original delivery estimate. Most customers still receive their items within a 2-3 business day period."
/FAQs,What set up do you recommend for the Nectar?,What set up do you recommend for the Nectar?,"Nectar will be the most comfortable mattress you ever owned if set up properly. We recommend any foundation, base or adjustable frame that we sell or a similar/like product. We do not recommend placing your mattress on the floor, plastic base, or home-made foundation."
/FAQs,When can I expect to receive my Nectar?,When can I expect to receive my Nectar?,"Nectar ships to you by FedEx Ground. Standard delivery of your Nectar products take approximately 2-3 business days for arrival once your order ships. If you request full setup of your Nectar through our White Glove Service Option, please allow an additional 2-3 business days for our agents to contact you to schedule a setup date and time."
/FAQs,How do I return my Nectar?,How do I return my Nectar?,"It’s rare, but when it happens, we will work with you to get it donated or locally disposed. Just give us a call and a Nectar Customer Care representative will walk you through the process."
/FAQs,Shouldn’t I try the Nectar mattress?,Shouldn’t I try the Nectar mattress?,"Try Nectar where it matters: in your own home. We offer risk-free, 365-Night sleep trial with every mattress, so you can snore, snooze, and snuggle on a Nectar through all 4 seasons. We think it’s the best way to make sure your new mattress hits the sweet spot for your sleep."
/FAQs,Why does Nectar cost so much less than other mattresses?,Why does Nectar cost so much less than other mattresses?,"We believe great sleep should be accessible to everyone! That’s why we paid just as much attention to the final cost as we did to sourcing innovative fabrics and top-of-the-line materials while building the Nectar mattress. And it’s why we continue to work closely with our manufacturing, shipping, and retail partners to keep prices low. We really do pass those savings right on to you."
/FAQs,Where are Nectar mattresses shipped from?,Where are Nectar mattresses shipped from?,Nectar ships from one of our distribution centers within the United States.
/FAQs,What kind of material is Nectar made from?,What kind of material is Nectar made from?,"Nectar is constructed from four special grade performance layers and a uniquely milled cooling cover. Nectar incorporates four super-premium and medical grade Certi-pur LUSH and Hi-CORE Foam layers. Nectar’s foam layers include 1-inch, semi-open, fast-recovery gel memory foam, a 3-inch 3.5lb memory foam with a medical grade cooling and recovery levels, and finally a 2.2lb high density base foam. Each carefully designed and thoughtfully assembled in order to achieve the perfect combination of firm support and soft, cradling comfort."
/FAQs,Can the Nectar mattress be folded for transport?,Can the Nectar mattress be folded for transport?,"Nectar is not designed to be refolded once expanded. The initial compression process uses roller presses which compress the mattress with over 10,000 lbs per square foot for vacuum packing."
/FAQs,Is the Nectar Safe?,Is the Nectar Safe?,"Nectar uses a flexible foam that is independently certified by CertiPUR-US®, a 3rd party global rating standard, to be free from known harmful chemicals and gases. Nectar is free from Ozone depleters, PBDE flame retardants, heavy metals, formaldehyde, phthalates and Volatile Organic Compounds."
